code;spanish;english
lan;Español;English
lbl00;Idioma;Language
ttl00;Portfolio Luciano Hernández;Luciano Hernández Portfolio
stt04;Sobre mí;About me
prg00;Desarrollador Full Stack e Ingeniero Civil Industrial de la Universidad del Desarrollo.;Full Stack Developer and Industrial Engineer from the Universidad del Desarrollo.
stt00;Enlaces;Links
stt01;Tecnologías;Technologies
btn00;Mostrar Todo;Show All
btn01;Ocultar Todo;Hide All
stt02;Proyectos;Projects
hdr00;Proyecto;Project
hdr01;Repositorio;Repository
hdr02;Tecnología utilizada;Used technology
hdr02_p;Tecnologías utilizadas;Used technologies
hdr03;Sitio Web;Web Site
hdr03_d;Descargar;Download
hdr04;Categoría;Category
hdr04_p;Categorías;Categories
ttl01;Proyectos hechos con {0};Projects made with {0}
stt03;Tipos de Proyectos;Types of Projects
ttl02;Proyectos de {0};{0} Projects
stt05;Formulario de contacto;Contact form
frm00;Nombre;Name
frm01;Empresa;Company
frm02;Correo electrónico;Email
frm03;Teléfono;Phone
frm04;Mensaje;Message
frm05;Enviar;Send
